clause_text,clause_type,risk_level,predicted_risk,correct
"HSWI may not sublicense the Content, Images or Affinities to any paid-subscription website which is an aggregator of third-party content (for the avoidance of doubt, such shall not include the",Non-Compete,high,Medium,False
"If the Board elects to pursue such Neutraceutical Opportunity, the Operating Company then shall have exclusive rights to exploit such Neutraceutical Opportunity, but solely with respect to use of Astaxanthin as a Neutraceutical, and, subject to Article 8.1, the Party (or its Affiliate) that has developed, discovered or acquired such opportunity, product or process will, however, be entitled to exploit such opportunity, product or process for application outside of use of Astaxanthin as a Neutraceutical",Competitive Restriction Exception,high,Medium,False
SRP may not obtain any associate or secondary sponsors whose products or concepts compete with Logan's.,Non-Compete,high,Medium,False
"NOTWITHSTANDING THE FOREGOING, NONE OF THE FOREGOING LIMITATIONS OF LIABILITY SET FORTH IN THIS SECTION 3.1 SHALL BE AVAILABLE TO EITHER PARTY WITH RESPECT TO A BREACH OF SECTION 4, CONFIDENTIAL INFORMATION, OR FOR CLAIMS TO THE EXTENT THEY ARISE OUT OF A PARTY'S GROSS NEGLIGENCE, FRAUD, OR WILLFUL MISCONDUCT.",Uncapped Liability,high,High,True
"Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity: (i) Own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Pizza Fusions Restaurants (""Competitive Business"");",Non-Compete,high,Medium,False
"In the event that the Agreement is terminated pursuant to Section 14.5, the following shall occur:",Joint Ip Ownership,high,Medium,False
The BSP may terminate the whole or any part of this agreement for convenience at any time by giving Datec at least 6 months prior written notice.,Termination For Convenience,high,Medium,False
"Furthermore, Sanofi shall within [***] after the effective date of such termination, transfer to RevMed all files and documents relating to the prosecution, defense or enforcement of the RevMed Licensed Patents or Joint Program Patents and provide reasonable assistance for a period not to exceed [***] following the effective date of termination, up to a total of [***], in the transfer of the prosecution, defense and enforcement responsibilities to RevMed, including by executing any documents reasonable necessary therefor.",Volume Restriction,high,Medium,False
"For avoidance of doubt, all BII liability or indemnification obligation that might result from representations and the warranties under this Section 6 are always subject to the limitations set forth in Section 7.4 of this Agreement.",Cap On Liability,high,Medium,False
The term of this Agreement is five (5) years unless the early termination in accordance with this Agreement.,Expiration Date,high,Medium,False
Neither this Agreement nor any part of this Agreement may be assigned or transferred by either party without the prior written consent of the other party.,Anti-Assignment,high,Medium,False
